,CreationDate,Title,Tags
0,2018-01-01 04:23:06.837,Baking ratio for waffles!,baking
0,2018-01-01 04:23:06.837,Baking ratio for waffles!,waffle
0,2018-01-01 04:23:06.837,Baking ratio for waffles!,ratio
1,2018-01-01 09:31:08.487,"With stovetop cooking, is there a way to retain heat but let moisture escape?",stove
2,2018-01-01 10:56:12.900,Extracting the flavour of single vegetables for the purpose of sauce,sauce
2,2018-01-01 10:56:12.900,Extracting the flavour of single vegetables for the purpose of sauce,vegetables
2,2018-01-01 10:56:12.900,Extracting the flavour of single vegetables for the purpose of sauce,food-science
2,2018-01-01 10:56:12.900,Extracting the flavour of single vegetables for the purpose of sauce,concentration
3,2018-01-01 11:08:47.213,,
4,2018-01-01 11:26:26.843,,
5,2018-01-01 11:39:27.160,,
6,2018-01-01 12:14:24.220,,
7,2018-01-01 13:34:14.563,,
8,2018-01-01 14:22:08.843,,
9,2018-01-01 22:21:25.010,Can a combination of Grilling and Baking be used for Chicken?,chicken
9,2018-01-01 22:21:25.010,Can a combination of Grilling and Baking be used for Chicken?,chicken-breast
9,2018-01-01 22:21:25.010,Can a combination of Grilling and Baking be used for Chicken?,chicken-wings
10,2018-01-01 22:43:13.657,,
11,2018-01-01 23:01:37.500,,
12,2018-01-02 01:13:38.593,"What is this ""spatula"" called, and what is it for?",equipment
12,2018-01-02 01:13:38.593,"What is this ""spatula"" called, and what is it for?",utensils
13,2018-01-02 01:15:38.493,,
14,2018-01-02 01:30:53.663,,
15,2018-01-02 03:37:09.550,,
16,2018-01-02 05:16:04.830,Sourdough starter and long term feeding,sourdough
16,2018-01-02 05:16:04.830,Sourdough starter and long term feeding,sourdough-starter
17,2018-01-02 06:19:11.900,Is it sensible to add steamed vegetables to a vegetable curry to reduce cooking time?,vegetables
17,2018-01-02 06:19:11.900,Is it sensible to add steamed vegetables to a vegetable curry to reduce cooking time?,steaming
17,2018-01-02 06:19:11.900,Is it sensible to add steamed vegetables to a vegetable curry to reduce cooking time?,pressure-cooker
18,2018-01-02 10:01:03.520,,
19,2018-01-02 11:36:25.140,,
20,2018-01-02 13:21:49.547,,
21,2018-01-02 14:41:18.830,,
22,2018-01-02 15:30:29.050,,
23,2018-01-02 18:40:28.643,I am making momos at home and want to store them too,meat
23,2018-01-02 18:40:28.643,I am making momos at home and want to store them too,dumplings
24,2018-01-02 20:41:47.517,,
25,2018-01-02 20:48:52.247,,
26,2018-01-02 21:20:12.063,Seasoning advice for seitan to replicate gyro meat,spices
26,2018-01-02 21:20:12.063,Seasoning advice for seitan to replicate gyro meat,vegan
26,2018-01-02 21:20:12.063,Seasoning advice for seitan to replicate gyro meat,seitan
27,2018-01-02 21:42:49.767,,
28,2018-01-02 22:35:21.920,,
29,2018-01-03 01:52:06.093,"Worried about raw eggs, Salmonella, and pasta maker.",food-safety
29,2018-01-03 01:52:06.093,"Worried about raw eggs, Salmonella, and pasta maker.",equipment
29,2018-01-03 01:52:06.093,"Worried about raw eggs, Salmonella, and pasta maker.",eggs
